,train_actual,train_predictions
0,6.642778029340667,6.183930424725653
1,6.888709306716919,6.041146724440227
2,6.890395879745483,6.066300725267334
3,7.080825868326913,6.323111583525543
4,7.292260179863691,6.582762261411206
5,7.42181822636756,6.8146093105654915
6,7.603968610055649,7.162336531316152
7,8.18353404232965,7.165338013259658
8,8.063482014410898,7.218534884858499
9,7.753153667458804,7.523202452335066
10,7.80298447169218,7.6823210676714275
11,7.458157539367675,8.013158655872754
12,7.980840655974346,8.228634116139162
13,7.703169487735435,8.286096310069343
14,7.906170300030763,7.769175123005253
15,8.347129978174053,7.546882041381682
16,7.985592286371558,7.982448741674658
17,7.787191528054539,7.645624773915109
18,7.735673904418945,8.290892967436042
19,7.839934291006801,7.958762173439997
20,7.9837515943616495,8.343318443841916
21,8.025456536376392,8.220779721740646
22,7.776460670972577,7.618430811869793
23,7.665605297216535,7.8419662596085775
24,7.427339359386129,7.990117121762092
25,7.632487713949114,8.137914279667124
26,8.068848541902526,8.044496879402315
27,8.36552778211967,7.839333389829773
28,8.84175729751587,7.498352335258073
29,8.78563943641255,7.6438292771042295
30,8.891740813110914,7.786589040756056
31,9.26079262890833,8.408797765906492
32,9.477898505376842,8.906074423706512
33,9.38513743688516,8.97448978022635
34,9.698991338977386,9.170691677422965
35,9.691327241570182,9.072289935902406
36,9.38958291893799,9.495041446324056
37,9.61772970055825,9.69555503444492
38,9.746522801190686,9.736154999639714
39,9.836830615997314,9.672221950099386
40,9.856455215397245,9.822236018200325
41,9.96853608891043,9.607023257581101
42,10.0456573762171,9.584545193202281
43,10.433262728037061,10.07417684239536
44,10.515137273278455,9.980248747004108
45,10.40842342376709,10.052593775928587
46,10.53706258112621,10.099161012249175
47,10.858739293462754,10.422615885414062
48,11.000715255737305,10.561963848225822
49,10.53184838434304,10.763996995447648
50,10.865791624739376,10.592840276789707
51,10.842481024848716,10.737612803134198
52,10.412716293254825,11.104867475301887
53,10.472821895892762,11.009229914436311
54,10.718446254730225,10.935834656366017
55,10.379907248037359,10.625842803931722
56,10.207110393742983,11.014741764122167
57,10.516825603696478,10.5620668758706
58,10.73071259484815,10.478483641589037
59,10.674288673530423,10.73663371533396
60,10.62062428284079,10.579368031624687
61,10.312751737230268,10.286797607186575
62,10.295270739662257,10.673862760881267
63,10.563282012939453,10.994691481577155
64,10.150686638780389,10.8415936301764
65,9.973135948181152,10.517329046813607
66,10.101314695491162,10.460463289106455
67,10.411337165813247,10.402021080466366
68,10.901515876013455,10.465406927689898
69,11.33419359140074,10.384328877043624
70,12.049609661102295,9.906129825428444
71,12.012041007611423,10.352512059593742
72,11.41913780924805,10.86015474389407
73,11.65372513806477,11.346253046159138
74,11.201264761953396,12.035038943002942
75,11.852126361609969,12.260769116137796
76,11.70524207541009,12.156057468863194
77,11.783743471328016,11.630655103980448
78,12.472168922424316,11.184177841978228
79,12.273155087607917,12.09329399159585
80,11.529532432556152,11.506098236517557
81,12.1564769482002,12.370574294083402
82,12.830489430864448,12.083995397911647
83,12.302134657576017,12.471573056068074
84,12.304434134676429,12.380248548597013
85,12.260425944562353,11.907920257282708
86,11.78450915290614,12.149682679166242
87,11.367775182666804,13.078542252404496
88,11.706160579751941,12.780239098481527
89,12.020015903901363,12.016695666196972
90,11.806435964460402,12.277584538354732
91,12.16076678505865,11.758524588844095
92,12.421111583709717,11.522628730909506
93,12.902245530242926,11.82349241923764
94,12.95943247989331,12.26741406192305
95,13.107699419361897,12.29002902017491
96,13.82019750270345,12.204519001808954
97,14.161805629730225,13.047766610301075
98,15.28950732641506,13.102417218154143
99,15.637855903654462,13.406684500916468
100,16.304054939216176,13.580324049637792
101,16.428549267914455,14.13589889275051
102,17.25880518140567,15.308804674340161
103,18.381290870362413,15.601375796893752
104,18.657121658325195,16.733652930408827
105,19.144995788173297,16.515867944327187
