0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-324,3.5e-323,2.03e-322,1.245e-321,7.75e-321,4.809e-320,2.97763e-319,1.839397e-318,1.1336875e-317,6.971479e-317,4.2773082e-316,2.61836439e-315,1.599202873e-314,9.7452048204e-314,5.9250540485e-313,3.594244330425e-312,2.175388415052e-311,1.31365088106006e-310,7.9147471749163e-310,4.75782064666751e-309,2.8535995098774284e-308,1.7076226704784069e-307,1.0195410981141938e-306,6.073394575779281e-306,3.609709001600472e-305,2.1405571268156215e-304,1.2664714033511324e-303,7.476147966186339e-303,4.4032599339264494e-302,2.5875258303099954e-301,1.517081803374749e-300,8.874568370877413e-300,5.179638079252171e-299,3.016237432928201e-298,1.752449738289271e-297,1.0158733125493713e-296,5.875535665533832e-296,3.3905434743245393e-295,1.952113671026702e-294,1.121385208977224e-293,6.427150640103965e-293,3.675327716144801e-292,2.096947682840678e-291,1.193694123768568e-290,6.779730827794617e-290,3.8418975745600426e-289,2.1721661824531472e-288,1.225333335637949e-287,6.896510227192541e-287,3.8727410181421136e-286,2.1698087749132314e-285,1.212937440876663e-284,6.765023006708474e-284,3.7645588334091215e-283,2.090127766390526e-282,1.157831912720309e-281,6.399295007194925e-281,3.5288458094220417e-280,1.9415436934504733e-279,1.0657996900203116e-278,5.83737972904545e-278,3.18987919984985e-277,1.7391797208124976e-276,9.460816605609244e-276,5.134837687408803e-275,2.7806014905727107e-274,1.502327847219501e-273,8.098500598712594e-273,4.355704963563582e-272,2.337363329181955e-271,1.2514339490841303e-270,6.68503328099053e-270,3.562978076100611e-269,1.8946834491301587e-268,1.0052500601449642e-267,5.3213949012219646e-267,2.810546697770652e-266,1.4810511476824236e-265,7.786875722743455e-265,4.084795932189238e-264,2.1379198592593976e-263,1.1164169280883826e-262,5.816682243196207e-262,3.0236965274477993e-261
1.5272676379393612e-192,4.320637635216105e-192,1.2208013082586005e-191,3.4451376169389984e-191,9.710299158412302e-191,2.733525264959844e-190,7.685604312072116e-190,2.158228371119837e-189,6.053146989011704e-189,1.6956237449077153e-188,4.743972972379857e-188,1.3256209815279407e-187,3.6996528899083287e-187,1.0312573013550422e-186,2.8710287414368343e-186,7.9831169353492e-186,2.2170316253002476e-185,6.149442323127364e-185,1.703585847995305e-184,4.713643809658644e-184,1.3026086158605364e-183,3.5953036697698247e-183,9.911095400348133e-183,2.7288029871554203e-182,7.503902006465811e-182,2.0609458110963362e-181,5.653409426887891e-181,1.5488834931035666e-180,4.238298211209539e-180,1.1583204323217501e-179,3.161770698576248e-179,8.619785730986467e-179,2.3470752681758882e-178,6.382958353793424e-178,1.7337299488214252e-177,4.703328781021111e-177,1.2743645236182465e-176,3.448628824895296e-176,9.3210251913627e-176,2.5162011493984546e-175,6.784088080770779e-175,1.8268464528823757e-174,4.913342753570729e-174,1.3198255258270588e-173,3.540955201951789e-173,9.488308309694308e-173,2.5393443081760687e-172,6.787640619534677e-172,1.8120932230583227e-171,4.831774742051813e-171,1.2867591617034009e-170,3.422569736226095e-170,9.092258810140188e-170,2.412435550501683e-169,6.392991058153185e-169,1.692064527705589e-168,4.4729515286833e-168,1.1809619624921341e-167,3.1141682617854033e-167,8.201866302989724e-167,2.1574847960966395e-166,5.668227189528331e-166,1.4873432296494153e-165,3.8979799386680144e-165,1.020310709662902e-164,2.6674097707238582e-164,6.964845338581505e-164,1.816342157222929e-163,4.730949322476076e-163,1.2307316683650516e-162,3.1977381801510605e-162,8.298256900731143e-162,2.15077656652911e-161,5.567601756150745e-161,1.4394794759478528e-160,3.7171256165048324e-160,9.586795106155284e-160,2.469471964006096e-159,6.353297633739719e-159,1.632520897916333e-158,4.189698240114245e-158,1.073918159460542e-157,2.7493122984519994e-157,7.029774763195726e-157,1.7952427957130823e-156,4.5789871179658675e-156,1.1664875226432179e-155,2.9679407076844397e-155,7.542143482155188e-155,1.914250665198151e-154,4.8525192845880425e-154,1.2285707749442145e-153,3.1066872651414274e-153,7.846199401837142e-153,1.9791813580925315e-152,4.986275716677456e-152,1.2546755459787426e-151,3.153196419333638e-151,7.914711021905912e-151,1.9841913298024755e-150
1.5811853581941658e-129,3.240420700521541e-129,6.634969655744192e-129,1.3573611460311056e-128,2.774411113011967e-128,5.665850965078722e-128,1.1560547626661945e-127,2.35673416225087e-127,4.800226349666061e-127,9.768587372352915e-127,1.986189782206053e-126,4.034861676819352e-126,8.189464179357993e-126,1.660738500193951e-125,3.36485186429303e-125,6.811606862425765e-125,1.377691974945269e-124,2.7840280865512595e-124,5.621005695780094e-124,1.1338963773332872e-123,2.2853443069016753e-123,4.602023591848088e-123,9.25901891334054e-123,1.861229944629608e-122,3.738126726815021e-122,7.50113426342754e-122,1.5038994032463741e-121,3.012517402344914e-121,6.0291941779973495e-121,1.2056129581588513e-120,2.4086598458681857e-120,4.807972417515155e-120,9.588869138360598e-120,1.9106966639267567e-119,3.803952000936511e-119,7.56653840266903e-119,1.503759494054097e-118,2.9859219636462704e-118,5.923759985506664e-118,1.174181905774923e-117,2.325370950379265e-117,4.6011673704110976e-117,9.096257566768921e-117,1.7967034282685164e-116,3.5457570340873876e-116,6.991340902528507e-116,1.377307506729324e-115,2.7109423322873838e-115,5.331244167729906e-115,1.0475042577359797e-114,2.0563732688301874e-114,4.033360418248104e-114,7.904074837475832e-114,1.547583121715471e-113,3.027442162147589e-113,5.91720553216121e-113,1.155517118338221e-112,2.254524930759309e-112,4.39493675686997e-112,8.559908988337098e-112,1.6657299470496106e-111,3.2386123646202696e-111,6.2911823720828606e-111,1.2210248693920584e-110,2.3677490641067183e-110,4.5873910931541193e-110,8.880037295718605e-110,1.7174446202396858e-109,3.318712441434742e-109,6.4073055399547295e-109,1.2359479302852631e-108,2.3820114470225535e-108,4.58676450670089e-108,8.824456600548345e-108,1.6962444093437835e-107,3.257675460348482e-107,6.250951550923638e-107,1.1984043552586832e-106,2.295511928436511e-106,4.393136104828596e-106,8.4001819367158e-106,1.604802734586177e-105,3.0631872692717458e-105,5.841768874910494e-105,1.1130998439671546e-104,2.1190577992963473e-104,4.0306066104151843e-104,7.659791572005975e-104,1.4543951621313443e-103,2.759096050409047e-103,5.229620172139204e-103,9.903584333958758e-103,1.873844682058336e-102,3.5423682469343295e-102,6.690718396831362e-102,1.262614364477443e-101,2.3806065804899863e-101,4.484597422365775e-101,8.440695349948969e-101,1.5872740551137193e-100
2.271145198187614e-102,4.023575874828345e-102,7.123145216515273e-102,1.2601542500929336e-101,2.2277575610617512e-101,3.935541095745016e-101,6.94757565533885e-101,1.2256160093896885e-100,2.1605676705901988e-100,3.8060424597107714e-100,6.699952011764752e-100,1.178588129953675e-99,2.0717852705677024e-99,3.639315666136226e-99,6.388325264862456e-99,1.1205896871443853e-98,1.9642579964415726e-98,3.440667822337386e-98,6.022534125326215e-98,1.053435866301403e-97,1.8413198686688204e-97,3.216197319956185e-97,5.613690171384133e-97,9.791438511000462e-97,1.7066201534282253e-96,2.9724841422805633e-96,5.1736200434526624e-96,8.998328049923107e-96,1.5639448030659813e-95,2.716272445030666e-95,4.714303542814659e-95,8.176248154624767e-95,1.4170425577337873e-94,2.4541665389087655e-94,4.2473443742802393e-94,7.345531526445231e-94,1.269466622492963e-93,2.1923589102866127e-93,3.7835051421622024e-93,6.524831651527329e-93,1.1244408134847617e-92,1.936405012063857e-92,3.332330767722579e-92,5.7304973432995686e-92,9.847564534751519e-92,1.6910547287783943e-91,2.9018756505382185e-91,4.976135997598336e-91,8.52703393560005e-91,1.4601452137793797e-90,2.4985406213325784e-90,4.272372269561353e-90,7.3003564901619385e-90,1.2465547447862692e-89,2.1270169546958058e-89,3.626793718692643e-89,6.1796953512911465e-89,1.0522128079562632e-88,1.7903271995452252e-88,3.044062346491572e-88,5.172100844497337e-88,8.781581425028347e-88,1.489946892098159e-87,2.5261617341605514e-87,4.2800005360398225e-87,7.24634158094175e-87,1.2259876304396994e-86,2.072744074345128e-86,3.501850356947259e-86,5.912100289450492e-86,9.974205437117177e-86,1.6815397308046722e-85,2.8328805636761813e-85,4.769157925870701e-85,8.0231969021385e-85,1.3487936258596486e-84,2.2658745772202443e-84,3.803807550020026e-84,6.381070061941055e-84,1.0696970486104654e-83,1.7919273148964786e-83,2.9996617772989414e-83,5.017836385744591e-83,8.387895497868418e-83,1.401140973669455e-82,2.3388531966059807e-82,3.901363356750855e-82,6.503125653233263e-82,1.0832287996276837e-81,1.803061574259394e-81,2.9991157369830024e-81,4.985034873533253e-81,8.280098125636663e-81,1.3743428070972147e-80,2.2795387103588472e-80,3.778254228121389e-80,6.257886614269022e-80,1.0357537406930235e-79,1.713079975249312e-79,2.83133380386024e-79
2.026608771285442e-88,3.3362445746276493e-88,5.488759983307938e-88,9.024413705605708e-88,1.4828326830553384e-87,2.4349704769754178e-87,3.995983138979438e-87,6.553631092812933e-87,1.074159396758589e-86,1.7594781172377007e-86,2.880231558413175e-86,4.711935492798845e-86,7.703705371352841e-86,1.258717847898533e-85,2.0553487000554597e-85,3.354061580279487e-85,5.469970046478341e-85,8.915121395321012e-85,1.4521048342769574e-84,2.363725705500198e-84,3.845250010330075e-84,6.251445980386474e-84,1.0156984281826917e-83,1.6492157547878296e-83,2.676200000066798e-83,4.339983263649611e-83,7.03373399609385e-83,1.1392321227228984e-82,1.8440254104089136e-82,2.98297749787936e-82,4.8223802298055704e-82,7.791145591267799e-82,1.2579679796277144e-81,2.0298607702049632e-81,3.273341456785827e-81,5.275270918370765e-81,8.496237082655524e-81,1.3675300362677758e-80,2.199761121465487e-80,3.5362467973326804e-80,5.681172931179446e-80,9.121407283363459e-80,1.4635719714000584e-79,2.3469007108159166e-79,3.761003573908766e-79,6.023392621695329e-79,9.640665090479267e-79,1.5420598025295052e-78,2.465039220691539e-78,3.9379921654201846e-78,6.287156324643855e-78,1.003141197967619e-77,1.5995516629963051e-77,2.5489591382418544e-77,4.059344149110353e-77,6.460665673259276e-77,1.0276070147790731e-76,1.6334477599121656e-76,2.5948474800268812e-76,4.119521930546763e-76,6.535972245482489e-76,1.0363393205542903e-75,1.6421852625298228e-75,2.600583011601958e-75,4.1157376998438466e-75,6.509581273300896e-75,1.0289323343281417e-74,1.6253577772884465e-74,2.565898832131165e-74,4.048167569789398e-74,6.382720552163791e-74,1.0057303978221111e-73,1.5837466882317243e-73,2.49240296757515e-73,3.9199379864108646e-73,6.161245731255905e-73,9.678014332287152e-73,1.5192609965377762e-72,2.383454759457725e-72,3.736885872457631e-72,5.855192159937217e-72,9.168554435676934e-72,1.4347921104365336e-71,2.243910283855876e-71,3.507118133458684e-71,5.478021061841586e-71,8.551167184238417e-71,1.3339989694302911e-70,2.0797636704015533e-70,3.240416822125769e-70,5.045638890677814e-70,7.851630433711426e-70,1.2210457346911197e-69,1.8977211988470425e-69,2.9475506998363276e-69,4.5752892552958465e-69,7.09748077304088e-69,1.1003181845009468e-68,1.7047502117089983e-68,2.6395604507463655e-68
7.132125048307881e-69,1.042193934592651e-68,1.5222104598750235e-68,2.2222731076735094e-68,3.2427743418471736e-68,4.729689097449531e-68,6.8951707854100944e-68,1.0047407808077665e-67,1.463388374562699e-67,2.130402875440406e-67,3.09999109987447e-67,4.508745508397966e-67,6.554620723587049e-67,9.524363875957402e-67,1.3833145976571027e-66,2.0081794059777894e-66,2.913940143594277e-66,4.226251250980375e-66,6.126699313039438e-66,8.877575797034796e-66,1.2857566520287075e-65,1.8613144078493494e-65,2.693253709370453e-65,3.895214359848513e-65,5.6309546133490535e-65,8.136343202754054e-65,1.1750952220962345e-64,1.6963420577247217e-64,2.4476559242406705e-64,3.530074519983756e-64,5.088783188588053e-64,7.332306158985561e-64,1.0559997165400519e-63,1.5201399794659966e-63,2.1872575727097582e-63,3.1456677141153355e-63,4.5219143223024243e-63,6.497232114015007e-63,9.331060459876889e-63,1.3394613695260885e-62,1.9218785993491866e-62,2.7562479071129266e-62,3.9510012912705185e-62,5.660993217411221e-62,8.107270542536354e-62,1.1605216998194302e-61,1.6604600588639956e-61,2.374653071854008e-61,3.394442641266329e-61,4.8499062925634705e-61,6.926196185557674e-61,9.886732835371132e-61,1.4106113588716422e-60,2.011678262406753e-60,2.8675185620893137e-60,4.085549916518243e-60,5.818236526602495e-60,8.281877307286981e-60,1.1783187284274264e-59,1.6756886846575064e-59,2.381883203674236e-59,3.384107536680848e-59,4.8057858762728e-59,6.821521411935657e-59,9.678201167570234e-59,1.3724755346673312e-58,1.945410011756391e-58,2.7562223490739878e-58,3.903138135332425e-58,5.524718592168866e-58,7.816331499513108e-58,1.1053309908141176e-57,1.5623498564864887e-57,2.2072971639776656e-57,3.1170221401958465e-57,4.399623744273354e-57,6.207085901027139e-57,8.752992222028634e-57,1.2337350348620607e-56,1.738136266474399e-56,2.4476105313752606e-56,3.4450646272909505e-56,4.8467319546048935e-56,6.815491789592086e-56,9.579480644152059e-56,1.3458085959144836e-55,1.889823303031332e-55,2.652501695812576e-55,3.7212316743431495e-55,5.218123048397941e-55,7.313722722545396e-55,1.0246115215268348e-54,1.4347510366461735e-54,2.008123542369194e-54,2.809317835832699e-54,3.928329366603226e-54,5.490494730911579e-54,7.670287329370784e-54,1.0710465710302007e-53,1.4948638711255161e-53
