Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03,14.339979577833606,14.339979577833606,13.69789094002016,13.822741508483887,13705800,0.0,0.0
2000-01-04,13.626548364165716,13.68005575303024,12.82393753119784,13.00229549407959,27293400,0.0,0.0
2000-01-05,12.859609587059902,13.25199711953607,12.699087414683287,13.14498233795166,22855600,0.0,0.0
2000-01-06,13.394684495925903,14.268638610839844,13.341177101135253,14.268638610839844,17307000,0.0,0.0
2000-01-07,14.161618951349418,14.161618951349418,13.69788835596518,13.894082069396973,11632800,0.0,0.0
2000-01-10,13.965422215613913,13.965422215613913,13.323333837884537,13.41251277923584,11152800,0.0,0.0
2000-01-11,13.002298029868498,13.394685624734215,13.002298029868498,13.127148628234863,11064400,0.0,0.0
2000-01-12,13.127145295502038,13.430353814555753,13.127145295502038,13.269831657409668,11067600,0.0,0.0
2000-01-13,13.412518795780377,13.662219943574161,13.376847203238409,13.573040962219238,12322000,0.0,0.0
2000-01-14,14.250799493034286,14.429157434123576,13.929755199073565,14.411321640014648,20438600,0.0,0.0
2000-01-18,14.26863173643748,14.26863173643748,13.64437909796834,13.69788646697998,17116000,0.0,0.0
2000-01-19,13.662214887638887,14.036766470720371,13.323334883898497,13.69788646697998,15468400,0.0,0.0
2000-01-20,13.555208010567489,13.697894410678725,13.127148810233779,13.434816360473633,12249000,0.0,0.0
2000-01-21,13.269825279141907,13.323332639138446,13.002288479159207,13.037960052490234,12839400,0.0,0.0
2000-01-24,13.055797994220407,13.198484311097134,12.699082202028594,12.716917991638184,12614800,0.0,0.0
2000-01-25,12.823939730255887,13.03796932241593,12.752596532869207,12.877447128295898,15631000,0.0,0.0
2000-01-26,13.05579760725998,13.501692334283884,12.948782872774242,13.448184967041016,15441200,0.0,0.0
2000-01-27,13.573039368220739,13.804904692513603,13.430353014809745,13.733561515808105,12769400,0.0,0.0
2000-01-28,13.662222388012163,13.662222388012163,13.055805206298828,13.055805206298828,13517000,0.0,0.0
