Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03,26.377258893901555,26.597805215506582,25.45096716997844,25.715621948242188,12019200,0.0,0.0
2000-01-04,25.062654867925815,25.2622689386365,24.55253069741385,25.1513729095459,11723400,0.273333,0.0
2000-01-05,24.92958432197637,25.750220803958133,24.48599807714882,24.996122360229492,8714550,0.0,0.0
2000-01-06,24.88523343103764,25.88330429057124,24.752157316433163,25.35099983215332,8369250,0.0,0.0
2000-01-07,25.772391573371745,26.082901630204976,25.195727428508388,25.816749572753906,6571950,0.0,0.0
2000-01-10,25.816759007680425,26.03855314680565,25.373172760009766,25.373172760009766,4723500,0.0,0.0
2000-01-11,24.840866264635924,24.996120320839783,24.219843948081653,24.774328231811523,8405550,0.0,0.0
2000-01-12,24.72996281865852,25.15137094521766,24.66342480028493,24.929576873779297,7271850,0.0,0.0
2000-01-13,25.24009115679589,25.728035313233264,25.040477084458963,25.306629180908203,6918900,0.0,0.0
2000-01-14,26.238158638232303,26.881358790518668,25.838930537383018,26.215978622436523,9731850,0.0,0.0
2000-01-18,26.23816056980592,26.437774634925542,24.929578122524422,25.195730209350586,5296650,0.0,0.0
2000-01-19,25.63931871810785,26.748285084554663,25.63931871810785,26.304698944091797,15734700,0.0,0.0
2000-01-20,26.748286476618127,26.970080573682058,25.81675411176078,26.282520294189453,7770300,0.0,0.0
2000-01-21,26.215971704007423,26.260329693313725,25.77238571920862,25.883281707763672,5160600,0.0,0.0
2000-01-24,26.393410135977856,26.45994814643039,25.617134024224633,25.905466079711914,6459150,0.0,0.0
2000-01-25,25.905469794910935,26.88136007797778,25.905469794910935,26.482131958007812,7579950,0.0,0.0
2000-01-26,26.74828509148744,28.034687538916256,26.615209046256158,27.835073471069336,8386650,0.0,0.0
2000-01-27,28.189943370958563,28.9218616664566,27.879433255788904,28.63353157043457,8165850,0.0,0.0
2000-01-28,28.234298635208848,28.234298635208848,27.191868370222835,27.214048385620117,7500000,0.0,0.0
2000-01-31,27.25841099487015,28.9218616664566,27.25841099487015,28.63353157043457,7160250,0.0,0.0
2000-02-01,29.25454226756842,29.98646032455563,28.855314236484492,29.720308303833008,9651000,0.0,0.0
2000-02-02,29.454185481519712,29.87559394227246,28.87752287515868,29.232393264770508,7126200,0.0,0.0
2000-02-03,29.631602335924722,30.11954651850705,28.478275845987525,29.52070426940918,9200250,0.0,0.0
2000-02-04,29.276736023229198,29.565068191226967,28.944045841147048,29.010583877563477,5115150,0.0,0.0
2000-02-07,29.165836334228516,29.587242491908114,29.010580258432128,29.165836334228516,4684200,0.0,0.0
2000-02-08,29.83120719309367,30.563125271187147,29.80902718053426,30.18607521057129,6318600,0.0,0.0
2000-02-09,30.141727438879226,30.651851656128454,29.254553033134055,29.409809112548828,9818550,0.0,0.0
2000-02-10,29.498523712158203,29.72031576471912,28.87750149771321,29.498523712158203,6880500,0.0,0.0
2000-02-11,29.5428694303543,30.163891386530537,29.099283479130385,29.321075439453125,7052550,0.0,0.0
2000-02-14,29.188010099054182,29.60941822632604,28.05686378479004,28.05686378479004,5904750,0.0,0.0
2000-02-15,28.411727716174386,29.276721768423258,28.256471696603473,28.766597747802734,8965500,0.0,0.0
2000-02-16,28.74441837814619,29.165826423203917,28.03468032961946,28.212114334106445,4829700,0.0,0.0
2000-02-17,28.611347207612397,28.921857275641507,27.61327695618406,27.812891006469727,5716200,0.0,0.0
2000-02-18,27.70199560027578,27.879429638698145,26.459951239581716,26.5264892578125,8121300,0.0,0.0
2000-02-22,26.970070241135687,27.990318229486256,26.659558218091053,27.41365623474121,7068600,0.0,0.0
2000-02-23,27.45803451538086,28.101237016576704,27.169704320232505,27.45803451538086,4452900,0.0,0.0
2000-02-24,27.41367526020062,27.524571327920707,26.482142605727784,26.970088958740234,5199900,0.0,0.0
2000-02-25,27.191872315914953,27.945970612476497,26.5708521004684,26.92572021484375,4644300,0.0,0.0
2000-02-28,27.236234287580103,28.478276837267764,27.10315822759287,27.65764045715332,6051000,0.0,0.0
2000-02-29,27.568913614291283,28.744417672495164,27.568913614291283,28.256471633911133,6166950,0.0,0.0
2000-03-01,28.345196428061776,29.099294662475586,27.990326312353066,29.099294662475586,4866300,0.0,0.0
2000-03-02,28.56698675059225,28.788778767010626,28.30083470642704,28.58916473388672,3583800,0.0,0.0
2000-03-03,29.099303867430503,29.232379949094696,28.16777129578114,28.78879165649414,5981400,0.0,0.0
2000-03-06,29.431977242388463,29.942101253552384,29.188003211788534,29.609411239624023,5691450,0.0,0.0
2000-03-07,29.609418969921958,29.87557105055047,28.744424707879293,29.032756805419922,4566900,0.0,0.0
2000-03-08,28.655707221927056,28.899681320914876,27.901610999362703,28.034687042236328,5247750,0.0,0.0
2000-03-09,27.945977149480864,28.833151704102114,27.70200500995646,28.78879165649414,3979500,0.0,0.0
2000-03-10,28.389550327140828,28.944034422047356,27.591094205153315,27.923784255981445,5311350,0.0,0.0
2000-03-13,27.546737545826396,28.810959800344996,27.369303520297493,28.411731719970703,4723350,0.0,0.0
2000-03-14,28.56699121373082,28.72224524336387,27.857250964685317,28.034687042236328,4129650,0.0,0.0
2000-03-15,27.63545909940251,29.87557182597519,27.39148499877451,29.498523712158203,8861700,0.0,0.0
2000-03-16,30.14172598097773,32.07132874797189,29.87557387518543,31.98261070251465,15634950,0.0,0.0
2000-03-17,31.672099109857182,32.73670748329776,31.405947016497038,32.293121337890625,11889150,0.0,0.0
2000-03-20,31.938258024432084,32.11569211437457,29.98647491274576,30.718393325805664,8076150,0.0,0.0
2000-03-21,30.67403039308279,32.82542727249432,30.341340258667575,32.64799118041992,8345550,0.0,0.0
2000-03-22,32.160039134006745,32.6923432188147,31.494659027996807,32.49272918701172,8604150,0.0,0.0
2000-03-23,32.293120593170336,35.19861353515445,32.270940575708714,34.95463943481445,10431450,0.0,0.0
2000-03-24,34.42234427928806,35.753105064069295,34.06747609039961,34.13401412963867,9489000,0.0,0.0
2000-03-27,34.06746983292079,34.377981979388395,33.202475481694286,33.60170364379883,4828950,0.0,0.0
2000-03-28,33.26900761994395,33.97874577230973,33.0472135589513,33.446441650390625,7325700,0.0,0.0
