Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03,7.376890267475996,7.425105236544467,7.232245360270585,7.304567813873291,11339200,0.0,0.0
2000-01-04,7.256353030951259,7.593857823088527,7.232245545798597,7.545642852783203,17990600,0.0,0.0
2000-01-05,7.497423543870074,7.786713198295929,7.473316072667919,7.666175842285156,15291000,0.0,0.0
2000-01-06,7.666175533743465,7.666175533743465,7.159918658873615,7.376885890960693,17686400,0.0,0.0
2000-01-07,7.328675298407526,7.425105236544467,7.20813787573635,7.304567813873291,13358200,0.0,0.0
2000-01-10,7.30456804663448,7.30456804663448,7.111708164215088,7.111708164215088,8824000,0.0,0.0
2000-01-11,6.918846470504083,7.1358137814258145,6.870631512521476,7.063491344451904,9792600,0.0,0.0
2000-01-12,7.039383307049171,7.352780509075332,7.039383307049171,7.159920692443848,6635800,0.0,0.0
2000-01-13,7.184031298286036,7.400998686489306,7.06349386039533,7.328676223754883,11179800,0.0,0.0
2000-01-14,7.352783017239328,7.376890502541753,7.039385708307816,7.111708164215088,6856800,0.0,0.0
2000-01-18,7.184030337466134,7.184030337466134,6.798310587803523,6.942955493927002,9452200,0.0,0.0
2000-01-19,6.942955493927002,7.015277946988742,6.84652555651135,6.942955493927002,5676200,0.0,0.0
2000-01-20,6.9670622794748205,6.9670622794748205,6.629557532372234,6.701879978179932,7137800,0.0,0.0
2000-01-21,6.725987700281533,6.725987700281533,6.436697906721037,6.484912872314453,8151000,0.0,0.0
2000-01-24,6.55723305771634,6.605448006670136,6.195620940562866,6.292050838470459,11600200,0.0,0.0
2000-01-25,6.243839295335518,6.267946782962296,6.09919436957485,6.21973180770874,7716600,0.0,0.0
2000-01-26,6.195623208176006,6.4849130077795545,6.195623208176006,6.364375591278076,13237000,0.0,0.0
2000-01-27,6.50901792674047,6.822415086176123,6.4849104529377275,6.533125400543213,14937000,0.0,0.0
2000-01-28,6.484911528173483,6.60544891717299,6.388481616973877,6.388481616973877,8821200,0.0,0.0
2000-01-31,6.533127604628638,6.798309905923527,6.48491264075684,6.701879978179932,8737600,0.0,0.0
2000-02-01,6.725984966251212,6.846522331237793,6.629555074261948,6.846522331237793,6502000,0.0,0.0
2000-02-02,6.822417990038894,7.03938534661257,6.677773085656445,7.015277862548828,7734200,0.0,0.0
2000-02-03,7.039385431342655,7.1358153687583075,6.798310587803523,6.942955493927002,11771600,0.0,0.0
2000-02-04,6.846523805712977,6.8706312839021075,6.533126589254285,6.798308849334717,8523000,0.0,0.0
2000-02-07,6.533125400543213,6.750092664767895,6.50901792674047,6.533125400543213,5190200,0.0,0.0
2000-02-08,6.60544712668971,6.87062931060791,6.557232184159128,6.87062931060791,6891400,0.0,0.0
2000-02-09,6.798309571602766,6.798309571602766,6.533127283348757,6.557234764099121,5223600,0.0,0.0
2000-02-10,6.557233596860672,6.701878455614952,6.14740649705688,6.243836402893066,10187400,0.0,0.0
2000-02-11,6.340267065745681,6.533126900445169,6.267944627733373,6.460804462432861,8325200,0.0,0.0
2000-02-14,6.340266726399196,6.364374204446341,6.123299423974889,6.316159248352051,7594200,0.0,0.0
2000-02-15,6.292052475845113,6.653664687100579,6.219730033594019,6.557234764099121,7580000,0.0,0.0
2000-02-16,6.484912872314453,6.557235320704577,6.243838044347373,6.484912872314453,5244400,0.0,0.0
2000-02-17,6.364375843721277,6.412590812234317,6.0991935168995575,6.147408485412598,7695000,0.0,0.0
2000-02-18,6.123300437132517,6.147407919168471,5.7857956886291495,5.78579568862915,8752400,0.0,0.0
2000-02-22,5.809902620904239,5.978654979187765,5.785795141149451,5.858117580413818,7441800,0.0,0.0
2000-02-23,5.809902191162109,5.930439581020244,5.737579757247228,5.809902191162109,9155800,0.0,0.0
2000-02-24,5.858118241116152,5.882225723589881,5.544720968957675,5.689365863800049,8360400,0.0,0.0
2000-02-25,5.544719275924078,5.641149176374932,5.424181900360511,5.4723968505859375,13766200,0.0,0.0
2000-02-28,5.785795637398712,5.93044052833368,5.617043264641249,5.834010601043701,9052800,0.0,0.0
2000-02-29,5.834009713208825,5.906332147670091,5.689364844286292,5.761687278747559,9811600,0.0,0.0
2000-03-01,5.761687323010923,5.809902279688839,5.641149931316134,5.713472366333008,6097000,0.0,0.0
2000-03-02,5.7616883920497655,5.7616883920497655,5.592936012366299,5.617043495178223,6579800,0.0,0.0
2000-03-03,5.737580828747507,5.809903276168694,5.66525838132632,5.689365863800049,9071400,0.0,0.0
2000-03-06,5.761687278747559,5.882224669516336,5.641149887978781,5.761687278747559,6285200,0.0,0.0
2000-03-07,5.737580828747507,5.761688311221236,5.5929359339051326,5.689365863800049,7321200,0.0,0.0
2000-03-08,5.665256308346259,5.978653465829244,5.496503992778498,5.93043851852417,11982000,0.0,0.0
2000-03-09,5.906332193044671,5.906332193044671,5.592934974638219,5.713472366333008,9740600,0.0,0.0
2000-03-10,5.713473346273778,5.834010758642423,5.617043416378862,5.689365863800049,8901800,0.0,0.0
2000-03-13,5.665257366132536,5.785794756901314,5.59293493167127,5.761687278747559,8371400,0.0,0.0
2000-03-14,5.737579981486003,5.761687460399809,5.544720150175549,5.5688276290893555,17360800,0.0,0.0
2000-03-15,5.568826549193438,5.785793817343832,5.424181703759842,5.737578868865967,16044000,0.0,0.0
2000-03-16,5.785795924175217,6.05097823736658,5.737580958140423,6.002763271331787,19580000,0.0,0.0
2000-03-17,6.099191390619742,6.750093238630544,6.07508391476749,6.4366960525512695,24912800,0.0,0.0
2000-03-20,6.4366972474272615,6.533127168737033,6.147407483497946,6.195622444152832,6327600,0.0,0.0
2000-03-21,6.171513378171993,6.557232964307742,6.09919095577154,6.412588119506836,6636200,0.0,0.0
2000-03-22,6.484911783391779,6.7259865708784625,6.460804304643111,6.629556655883789,6431600,0.0,0.0
2000-03-23,6.6536628608416795,6.774200231509101,6.3161582229728985,6.412588119506836,6318600,0.0,0.0
2000-03-24,6.412591333989497,7.039385975657643,6.412591333989497,6.894741058349609,10621400,0.0,0.0
2000-03-27,6.846522416692481,6.870629889990694,6.67777010360499,6.725985050201416,4420000,0.0,0.0
2000-03-28,6.557234197423078,7.015276292096013,6.557234197423078,6.6536641120910645,6712800,0.0,0.0
2000-03-29,6.67777237032833,6.846524740697638,6.67777237032833,6.822417259216309,6470000,0.0,0.0
2000-03-30,6.822414943394268,6.991167256481758,6.653662630306777,6.725985050201416,7183800,0.0,0.0
2000-03-31,6.725985963149427,6.967060728853707,6.677771010008571,6.774200916290283,6614000,0.0,0.0
2000-04-03,6.870631769003457,7.425103806501982,6.846524289112216,7.280458927154541,11532600,0.0,0.0
2000-04-04,7.425101968157033,7.859036498763613,7.352779546389271,7.78671407699585,21197600,0.0,0.0
2000-04-05,7.66617668999566,7.907251428674769,7.66617668999566,7.810821533203125,9248000,0.0,0.0
2000-04-06,8.003685070683781,8.051900040989105,7.4492129121725545,7.545642852783203,6015400,0.0,0.0
2000-04-07,7.593855532732877,7.617963010614569,7.352780753915961,7.425103187561035,5046400,0.0,0.0
2000-04-10,7.4492106654427275,7.49742562120611,7.135813452980735,7.425103187561035,4913600,0.0,0.0
2000-04-11,7.52153039412065,8.148324593630704,7.4733154556968,7.955464839935303,10696800,0.0,0.0
2000-04-12,7.85903799603557,8.461724958921733,7.834930517520124,8.244757652282715,14437200,0.0,0.0
2000-04-13,8.29297099186824,8.31707846568181,7.810821515596831,7.8349289894104,7705600,0.0,0.0
2000-04-14,7.762608953382148,7.762608953382148,7.208136885283423,7.352781772613525,8515600,0.0,0.0
2000-04-17,7.256352790527874,7.280460274881787,6.870633040865262,6.942955493927002,9819400,0.0,0.0
2000-04-18,6.6054502846056575,6.918847560882568,6.436697905071936,6.918847560882568,12547000,0.0,0.0
