,var_5,var_4,var_3,var_2,var_1,var_0,tickerName
0,0.7963281091887897,0.7385922447377385,0.8241184075600649,0.8317848557879491,0.7944117023842436,0.8705951034788951,Apple
1,0.7385922447377385,0.8241184075600649,0.8317848557879491,0.7944117023842436,0.8705951034788951,0.8796989195619364,Apple
2,0.8241184075600649,0.8317848557879491,0.7944117023842436,0.8705951034788951,0.8796989195619364,0.8746678071118319,Apple
3,0.8317848557879491,0.7944117023842436,0.8705951034788951,0.8796989195619364,0.8746678071118319,0.9647457038455696,Apple
4,0.7944117023842436,0.8705951034788951,0.8796989195619364,0.8746678071118319,0.9647457038455696,0.9340811367317208,Apple
5,0.8705951034788951,0.8796989195619364,0.8746678071118319,0.9647457038455696,0.9340811367317208,0.9357576315654783,Apple
6,0.8796989195619364,0.8746678071118319,0.9647457038455696,0.9340811367317208,0.9357576315654783,1.0682399272918701,Apple
7,0.8746678071118319,0.9647457038455696,0.9340811367317208,0.9357576315654783,1.0682399272918701,1.0229609365576797,Apple
8,0.9647457038455696,0.9340811367317208,0.9357576315654783,1.0682399272918701,1.0229609365576797,0.9725316951252276,Apple
9,0.9340811367317208,0.9357576315654783,1.0682399272918701,1.0229609365576797,0.9725316951252276,0.8650848269462585,Apple
10,0.9357576315654783,1.0682399272918701,1.0229609365576797,0.9725316951252276,0.8650848269462585,0.9331222994259951,Apple
11,1.0682399272918701,1.0229609365576797,0.9725316951252276,0.8650848269462585,0.9331222994259951,0.9479757043140168,Apple
12,1.0229609365576797,0.9725316951252276,0.8650848269462585,0.9331222994259951,0.9479757043140168,0.8471170031568289,Apple
13,0.9725316951252276,0.8650848269462585,0.9331222994259951,0.9479757043140168,0.8471170031568289,0.7978254248868355,Apple
14,0.8650848269462585,0.9331222994259951,0.9479757043140168,0.8471170031568289,0.7978254248868355,0.706250689835096,Apple
15,0.9331222994259951,0.9479757043140168,0.8471170031568289,0.7978254248868355,0.706250689835096,0.6701350510120392,Apple
16,0.9479757043140168,0.8471170031568289,0.7978254248868355,0.706250689835096,0.6701350510120392,0.7165518634456585,Apple
17,0.8471170031568289,0.7978254248868355,0.706250689835096,0.6701350510120392,0.7165518634456585,0.7163122892379761,Apple
18,0.7978254248868355,0.706250689835096,0.6701350510120392,0.7165518634456585,0.7163122892379761,0.7647053099527195,Apple
19,0.706250689835096,0.6701350510120392,0.7165518634456585,0.7163122892379761,0.7647053099527195,0.8154939637378851,Apple
20,0.6701350510120392,0.7165518634456585,0.7163122892379761,0.7647053099527195,0.8154939637378851,0.8056713729934564,Apple
21,0.7165518634456585,0.7163122892379761,0.7647053099527195,0.8154939637378851,0.8056713729934564,0.8758651562242088,Apple
22,0.7163122892379761,0.7647053099527195,0.8154939637378851,0.8056713729934564,0.8758651562242088,0.8456797573488428,Apple
